37.048,36.004,35.031,34.004,33.106,32.182,31.197,30.215,29.227,28.246,27.214,26.415,25.826,24.83,23.894,22.932,21.97,21.025,20.261,19.28,18.293,17.316,16.338,15.379,14.813,13.834,12.861,11.942,11.018,10.172,9.63,8.9077,8.0459,7.2803,6.4022,5.6183,5.8445,5.2376,4.706,4.4879,4.1032,3.6033,4.74,4.6016,4.6632,5.4545,5.902,6.0976,9.087,8.6818,7.5217,8.8235,8.3125,9.25,12,12.75,13.667,13.818,14.1,13.333,13.857,14.786,15,16,15.286,17.333,16.737,14.524,14.55,13.682,12.739,11.739,14.095,13.095,11.522,8.2857,6.5476,5.7209,9.3929,9.4444,9.3462,9.08,8.12,7.24,8.7619,8,7.3636,7.1364,7.2381,6.4762,9.25,8.76,7.9643,7.2333,6.9259,6.2857,6.5185,6.2083,5.4348,5.25,4.8947,4.625,5.5385,5.6923,5.1538,4.1538,3.1538,2.6364,3.5,4.4286,4.6667,5.5,12.714,10.5,17.714,19.5,18.5,17.5,19.8,30.857,47.889,47.2,43.833,41.857,41.067,42.929,45.563,43.872,44.408,44.097,43.737,42.242,42.581,41.889,41.99,41.186,40.598,39.911,39.008,38.756,38.149,37.378,36.529,35.819
5.8919,5.1389,4.9667,3.7714,3.6667,3.619,4.9167,4.3333,3.6667,3,2.75,1.6154,2.8,3.8,3.2,3,8,3,2.4286,2.5,2.6667,6,7,5.25,4.5455,5.8571,5.3846,5.0769,4.8667,4.1579,5.3611,4.2745,3.94,4.24,3.8727,3.2609,3.5833,3.1602,3.1345,3.0054,2.8308,2.6649,2.9685,2.5756,2.6429,2.6184,2.535,2.4045,2.7,2.5821,2.6311,3.3421,4.0345,4.22,6.1818,5.4,5.2727,5.4333,5.75,5.2353,6.2,5.22,5.1957,5.093,4.3333,4.4722,5.4667,4.625,4.0526,3.4103,3.5625,2.9667,3.6296,2.6897,2.9032,3.0645,3.6552,3.96,4.9,4.7188,5.4857,5.3478,4.7021,4.0682,5.275,4.561,4.2927,4.5476,4.2619,3.675,6.1935,5,6.0286,7.1212,7.5806,6.9063,7.3243,7.425,6.8298,6.2037,5.3509,5.1228,5.746,5.4615,5.2319,4.7468,4.2838,3.8434,4.3875,4,3.8105,3.6186,3.1268,3.7517,5.7372,6.0216,6.6084,7.6429,7.3105,7.4817,8.4,8.1163,7.7969,7.4838,7.2048,6.7329,7.0783,6.5652,6.0312,5.6994,5.2451,4.8143,5.1896,4.7337,4.2538,3.7868,3.3241,2.8906,3.5116,3.3145,3.0942,2.6885,2.4242,2.5862
3.4,3.5,3,5,3.6667,2.25,2.5,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0,2,1,2,1.8,1.75,1.5,1,0,2.6,3,2.25,1.6364,1.4444,1.6667,1.7222,1.9231,2.3182,2.0313,1.878,1.7614,2.0813,1.8824,1.8415,1.8442,1.6849,1.6204,2.1667,1.8646,1.9625,2,1.6306,1.2245,1.6735,1.5333,1.3333,2,1.5833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9091,2.2188,1.9677,1.5882,1.6,1.9167,2.1212,2.35,2.375,3.3077,3.3902,3.9516,4.0437,3.2486,2.5127,2.1567,1.8242,1.5796,2.6531,2.5694,2.6909,2.5435,2.2381,1.8043,2.1556,1.8421,1.7941,1.8276,1.4839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,2.1471,1.7222,1.7,1.5909,1.6471,1.95,1.9167,2.1034,2,1.7353,1.1842,1.9655,2.0435,2.375,2.68,2.3846,2.4211,3.8455,3.2016,3.027,2.8529,2.625,2.6114,3.4029,3.0354,3.0378,3.0512,3.0262,2.7874,3.3333,3.0752,2.9154,3.1304,2.9109,3.033,3.875,3.6111,3.2917,3.1277,3.2632,3.25,4.303,3.6176,3.7037,2.7586,2.32,2.3125,3.4167,3.3125,2.7333,2.25,1.9091,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,16,9.5,8.5,10.333,9.3333,9,8,9.5,7,7.5,6.5,4.8571,4.375,3.6,3.25,3,3,2.75,1.75,1.5,2,1,0,5.5,4,3,2,1.5,1,0,0,2,4.5,4.5,4.6667,5.5,7.2,5.8333,4.25,3.5,2.8571,3.6667,3.2,2.75,1.75,1,0,0,6,5,4,3,2,3,2,1,0,0,0,0,0,0,3.5,5,4,3,2,1,0,0,0,0,0,0,0,0,0,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
9.1875,7.7647,7.6667,6.875,6.7143,6.6667,7.2143,6.4,5.125,5.5,5.6429,5.9091,9.3333,9.8333,8.8462,9.8235,9.1667,9.8,9.55,9.4,9.3158,8.0476,8.625,8.4545,10.111,11,11.588,10.421,9.7619,9.5,10.115,9.6333,8.8182,8.0286,7.2286,6.6286,7.9429,7.4872,6.7174,6.3333,6.0909,5.7436,7.3016,6.4412,6.8714,6.6533,6.3625,7.4805,9.4034,9.2704,9.4649,8.8382,8.7663,8.8636,9.4446,8.829,8.1178,7.5563,6.9297,6.887,7.203,6.7852,6.3649,5.8629,5.4376,5.3301,5.2849,4.4912,3.6643,2.8847,2.0918,1.5092,3.9365,3.6981,5.4082,7.4894,8.1569,8.7701,10.302,9.5137,8.7755,8.0651,7.2578,7.1206,7.6298,7.2074,7.0524,6.8601,6.7032,7.1247,7.8482,7.8082,7.5511,7.2071,6.816,6.8795,7.4638,7.0746,6.6939,6.3552,5.9521,5.9081,6.1084,5.373,4.6826,4.0191,3.2714,2.7262,4.1333,3.8842,3.7771,4.3411,4.359,4.9712,7.2364,6.6923,6.2051,5.6612,5.6518,5.6408,6.2885,6.0882,5.4766,4.8269,4.2828,4.4118,5.8615,5.4603,5.2656,5.1452,5,4.56,6.2353,5.9744,5.7059,5.5484,5.2121,4.6333,5,4.5455,3.913,3.5455,2.75,1.8261
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,4,3,2,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,4,3,2,1,3,3,2,1.5,2.3333,1.6667,3,2,3,2.5,2.3333,3.6667,3,2.6667,2,2,3,4,5,4,5.4,4.8,3.1429,3,7,5.6667,5.25,3.8,3.5,2.75,3.5,2.5,1.5,2,4,3.5,5.7778,4.6667,4.1538,5.1667,4.3846,3.8333,4.5556,3.4167,2.6923,2.2727,1.7778,1.3333,4.6,3.5714,3.2222,2.4444,1.625,1.2,1,2.3333,2,2.6667,2.6667,2.5,3.3636,3.0833,3.5833,3.8182,3.2,2.9,2.75,1.875,2.8,2.8571,3.375,3.6667,3.1667,3.25,4.5,7,4.1667,4.75,7.3333,4,3.6,4.3333,4.6667,3.6667,2.2,2,3,2,1,0
6,5,4,3,2.3333,1.25,3,3,4,3,2,1.5,2.75,2.5,1.75,2,2,1.3333,1,2,1,0,0,4,7.5,8.6667,6.25,5.25,4.5,4.7143,6.5,7,5.6875,5.1429,4.85,3.4815,4.25,3.6207,4.0833,3.9259,4.0714,3.4286,4.0769,4.4138,4.037,3.3784,2.9024,2.3488,3,2.6279,2.4118,2.3036,2.0143,1.3021,1.9429,3.5,3.4545,3.2857,2.9722,2,2.2892,3.4667,3.4043,3.2075,2.9855,2.4771,3.3452,4.1091,3.9412,3.1774,2.9038,1.9385,3.9687,3.6744,3.5,2.9549,2.132,1.4055,3.1098,4.6154,4.6296,5.1591,5.4146,3.6316,4.4535,5.3429,4.8659,5.5286,4.7595,3.648,3.9918,4.5158,4.8571,4.6098,3.7742,3.2308,3.367,3.8571,3.8846,3.5579,3.2111,2.5849,3.0568,3.6774,3.3333,3.2143,2.8103,2.1212,3.7632,4.5,5.6061,4.913,4.4821,3.8507,5.1311,5.1154,4.9483,5.3966,5.1972,5.1299,6.4118,6.0741,5.7176,5.1667,4.8444,4.5,5.038,4.5733,4.5362,4.0625,3.6724,3.3673,4.119,4.3636,3.5882,3.5556,3.6154,2.9655,2.8696,2.9375,1.8889,2.1111,1.7143,1
4.6,6,3.6,4.3333,5,4,4,3,4,3,2,1,6,5,4,3,2,1,2,1,0,0,1,0,0,0,0,0,0,2,1.875,3.4,4.6364,5.0667,3.913,3.9444,4.0606,3.2653,3.0159,3.0488,2.7191,2.211,2.75,2.47,2.7158,2.7419,2.5208,2.5287,3.1299,3.3793,3.7826,4.6757,4.5526,3.9459,4.0286,3.9706,4.3214,4.6154,3.92,3.3043,3.7826,3.85,3.8095,3.6111,4.619,5,5.45,4.5417,3.76,4,3.56,2.8148,4.0357,3.4815,3.5,3.68,3.84,3.6552,5,6.0556,6.1111,6.6667,6.1333,5.1667,7,6.9333,5.3182,4.9048,4.2727,4.2105,4.5714,3.7222,4.381,4.7143,4.125,3.5652,5.0417,4.8276,4.6452,5.5806,6.1429,5.8571,5.725,5.0426,5.06,4.7059,4,3.5636,3.9412,3.4571,3.2658,3.0897,2.8132,2.7108,3.3049,3.1667,3.9079,4.4625,4.6304,4.2897,4.6321,4.4537,4.243,4.303,4.101,3.6602,4.5402,4.2778,3.8889,3.619,3.3919,3.0694,3.05,2.7451,2.7209,2.439,2.1,2.1,2.1429,1.8,1.4545,1.875,1.6,1.375
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,5,6.5,5.5,4.5,3.5,2.5,3,2,2,2,5,8,7,6,5,3,2,2,1,9,6.6667,8.5,7.5,6.5,11,6.75,5.75,4.75,4.6,3.6,4.3333,3.3333,3.5,4,3,3,4,7,6,4.3333,5.6667,7,7.5,6.5,5.5,4.5,3.5,3.3333,7,5.5,4.5,3.5,2.5,1.5,1,4,7,6.3333,5.3333,5.2,5.25,4.25,4.8,3.8,2.8,4.5,8,8.2,7.1667,6.1667,5.1667,4.1667,3.1667,3.25,2.25,3.6667,2.6667,2.5,4,5.3333,4.3333,5,4.3333,5,4,3,2,2,1,0,0
6.5,5.5,5.25,4.25,3.25,4.5,3.5,2.5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.3333,1,0,0,0,0,3,2,1,0,0,0,0,0,0,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,6,5,4,3,2,1,0,0,0,0,0,0,0,17,16,15,14,13,10,9,8,6,5,4,3,3,4,6,5,5.6667,7,6,5,4,4.6667,3.6667,4,3,4,3,2,2,2,5,6,5,5.6667,4.6667,7,6,5,5,5.3333,4.4,4.7143,5.2,4.2,3.2,2.75,2.3333,10,7.4,6.4,5.1667,5,4.5,6.75,6.2,4.8571,4.375,3.375,3.1667
